"metro_area","sex","age","estimate"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","30 to 34 years",75216
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","35 to 39 years",70435
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","40 to 44 years",66171
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","45 to 49 years",62915
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","50 to 54 years",60693
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","55 to 59 years",65614
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","60 and 61 years",27691
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","62 to 64 years",30431
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","65 and 66 years",22014
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","67 to 69 years",27133
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","70 to 74 years",38860
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","75 to 79 years",28785
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","80 to 84 years",16006
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","85 years and over",15403
"Knoxville, TN Metro Area","Total",NA,869525
"Knoxville, TN Metro Area","Male","",422331
"Knoxville, TN Metro Area","Male","Under 5 years",23333
"Knoxville, TN Metro Area","Male","5 to 9 years",23312
"Knoxville, TN Metro Area","Male","10 to 14 years",27269
"Knoxville, TN Metro Area","Male","15 to 17 years",15341
"Knoxville, TN Metro Area","Male","18 and 19 years",11450
"Knoxville, TN Metro Area","Male","20 years",8018
"Knoxville, TN Metro Area","Male","21 years",7385
"Knoxville, TN Metro Area","Male","22 to 24 years",17239
"Knoxville, TN Metro Area","Male","25 to 29 years",28712
"Knoxville, TN Metro Area","Male","30 to 34 years",26941
"Knoxville, TN Metro Area","Male","35 to 39 years",24287
"Knoxville, TN Metro Area","Male","40 to 44 years",27252
"Knoxville, TN Metro Area","Male","45 to 49 years",27470
"Knoxville, TN Metro Area","Male","50 to 54 years",26997
"Knoxville, TN Metro Area","Male","55 to 59 years",28442
"Knoxville, TN Metro Area","Male","60 and 61 years",12639
"Knoxville, TN Metro Area","Male","62 to 64 years",14543
"Knoxville, TN Metro Area","Male","65 and 66 years",10108
"Knoxville, TN Metro Area","Male","67 to 69 years",14539
"Knoxville, TN Metro Area","Male","70 to 74 years",19593
"Knoxville, TN Metro Area","Male","75 to 79 years",12635
"Knoxville, TN Metro Area","Male","80 to 84 years",7942
"Knoxville, TN Metro Area","Male","85 years and over",6884
"Knoxville, TN Metro Area","Female","",447194
"Knoxville, TN Metro Area","Female","Under 5 years",23145
"Knoxville, TN Metro Area","Female","5 to 9 years",23081
"Knoxville, TN Metro Area","Female","10 to 14 years",26227
"Knoxville, TN Metro Area","Female","15 to 17 years",16342
"Knoxville, TN Metro Area","Female","18 and 19 years",10984
"Knoxville, TN Metro Area","Female","20 years",5552
"Knoxville, TN Metro Area","Female","21 years",5322
"Knoxville, TN Metro Area","Female","22 to 24 years",20519
"Knoxville, TN Metro Area","Female","25 to 29 years",27980
"Knoxville, TN Metro Area","Female","30 to 34 years",27786
"Knoxville, TN Metro Area","Female","35 to 39 years",26764
"Knoxville, TN Metro Area","Female","40 to 44 years",25073
"Knoxville, TN Metro Area","Female","45 to 49 years",28617
"Knoxville, TN Metro Area","Female","50 to 54 years",28223
"Knoxville, TN Metro Area","Female","55 to 59 years",31970
"Knoxville, TN Metro Area","Female","60 and 61 years",13825
"Knoxville, TN Metro Area","Female","62 to 64 years",15830
"Knoxville, TN Metro Area","Female","65 and 66 years",11744
"Knoxville, TN Metro Area","Female","67 to 69 years",15650
"Knoxville, TN Metro Area","Female","70 to 74 years",23887
"Knoxville, TN Metro Area","Female","75 to 79 years",16457
"Knoxville, TN Metro Area","Female","80 to 84 years",12179
"Knoxville, TN Metro Area","Female","85 years and over",10037
